"","assists","baronKills","bountyLevel","champExperience","champLevel","championId","championName","championTransform","consumablesPurchased","damageDealtToBuildings","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","deaths","detectorWardsPlaced","doubleKills","dragonKills","firstBloodAssist","firstBloodKill","firstTowerAssist","firstTowerKill","gameEndedInEarlySurrender","gameEndedInSurrender","goldEarned","goldSpent","individualPosition","inhibitorKills","inhibitorsLost","item0","item1","item2","item3","item4","item5","item6","itemsPurchased","killingSprees","kills","lane","largestCriticalStrike","largestKillingSpree","largestMultiKill","longestTimeSpentLiving","magicDamageDealt","magicDamageDealtToChampions","magicDamageTaken","neutralMinionsKilled","nexusKills","nexusLost","objectivesStolen","objectivesStolenAssists","participantId","pentaKills","physicalDamageDealt","physicalDamageDealtToChampions","physicalDamageTaken","profileIcon","puuid","quadraKills","riotIdName","riotIdTagline","role","sightWardsBoughtInGame","spell1Casts","spell2Casts","spell3Casts","spell4Casts","summoner1Casts","summoner1Id","summoner2Casts","summoner2Id","summonerId","summonerLevel","summonerName","teamEarlySurrendered","teamId","teamPosition","timeCCingOthers","timePlayed","totalDamageDealt","totalDamageDealtToChampions","totalDamageShieldedOnTeammates","totalDamageTaken","totalHeal","totalHealsOnTeammates","totalMinionsKilled","totalTimeCCDealt","totalTimeSpentDead","totalUnitsHealed","tripleKills","trueDamageDealt","trueDamageDealtToChampions","trueDamageTaken","turretKills","turretsLost","unrealKills","visionScore","visionWardsBoughtInGame","wardsKilled","wardsPlaced","win","raph_score"
"1441",4,0,1,16486,17,82,"Mordekaiser",0,3,6612,8397,6612,24202,4,1,4,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14449,13875,"TOP",0,0,4637,4633,3111,3116,4629,0,3340,20,3,16,"TOP",0,6,2,508,137039,30025,5092,8,0,0,0,0,1,0,19349,3427,20288,4502,"4B_QZE9semMzYwAG4Tbq6wm5hI5xojuzmLcCzrw6zekqjRz3dpA0nn_Vb_KeuE_EBUWyGQCQO4BzpA",0,NA,NA,"SOLO",0,143,47,64,7,4,4,4,12,"cySsAOu6YWHn7-rgD-eyUVe1IQk8YTcEn-J7XdzhMsk2OOw",151,"Kana Ikari",FALSE,100,"TOP",21,1617,164198,34487,0,27936,13363,0,183,263,147,1,0,7809,1034,2556,2,1,0,17,1,0,5,TRUE,7.85969921779618
"1442",11,0,2,11814,14,72,"Skarner",0,2,0,22170,0,29337,1,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9218,8550,"JUNGLE",1,0,3742,6664,1028,3158,1057,0,3364,18,1,3,"JUNGLE",0,2,1,865,43952,3860,6034,103,0,0,0,0,2,0,53823,6143,12728,3,"KY2Xhowb7Go5XbYrmPOp8VPcxAI3zRst1eA3bFrwDKqZ7qqte1ucCxXPlrwny1tDVdDP6I4n1dNnug",0,NA,NA,"NONE",0,235,81,54,9,15,11,3,4,"vZE5YPLc6odpNtKum09085riWwmlybghiihqTB7--RiOldo",169,"shadow summuner",FALSE,100,"JUNGLE",48,1617,119676,12072,0,19466,7649,0,13,576,27,1,0,21900,2068,703,1,1,0,25,2,3,3,TRUE,7.33165693414561
"1443",5,0,5,13511,15,134,"Syndra",0,4,5518,5518,5518,4422,2,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11158,9350,"MIDDLE",1,0,3040,2031,6655,3020,3145,0,3340,21,2,8,"MIDDLE",0,5,1,814,108848,18754,3842,8,0,0,0,0,3,0,11108,1292,5902,4895,"Vf5CEoMBNlf1Fi_YdzeWX-Ena_qPj1-DWBI1oU0Rz3QujoQgFrLwBNUO-rjLEo81fyQ8wfB9vGtxJQ",0,NA,NA,"SOLO",0,136,134,32,6,2,4,2,14,"gSvt4Q-ZuA3OCNUYOq6BXaC3sKijZf1JPefWkz-lzqWeLWw",320,"GreenStickman",FALSE,100,"MIDDLE",14,1617,121756,20587,0,9935,2596,0,167,184,71,1,0,1800,540,190,4,1,0,30,2,2,10,TRUE,6.45194933775009
"1444",12,0,7,12191,14,222,"Jinx",0,3,10047,13378,10047,6797,4,2,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12225,10450,"BOTTOM",0,0,1018,6672,3006,3085,3123,1038,3340,24,2,10,"BOTTOM",483,7,2,788,3291,848,6782,16,1,0,0,0,4,0,117731,22029,8889,3018,"1MnWxX3Gr3kPEHW9BVWoQRg_-RiaQ2yXjtb_U40wuv-x1dCiS-O7XtjTqFSMOIHuKvFDQN-nGar0MQ",0,NA,NA,"CARRY",0,87,51,15,6,4,14,4,4,"o2yQNFQ3hD0B-q0y66L_kfy6o1R4Kwh_OrDYnXYzxfCct5c",83,"KhavixRee",FALSE,100,"BOTTOM",30,1617,133184,25680,0,15689,5508,0,144,161,67,1,0,12161,2803,18,3,1,0,16,2,1,9,TRUE,8.44418653758095
"1445",11,0,1,9334,12,117,"Lulu",0,6,1298,2624,1298,4151,2,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7401,6700,"UTILITY",1,0,3853,6617,3111,3011,0,0,3364,18,0,2,"BOTTOM",0,0,1,500,10095,2421,4490,0,0,0,0,0,5,0,3056,600,4858,4835,"l-DJZU4_KrqAd3KDmxL0tqQRXlmFDefOH7SY9lWhRMeU9r7-kr48WwOImbVk8O2MiIYRfX78iaJ5cA",0,NA,NA,"SUPPORT",0,47,53,52,8,2,4,2,7,"f_4MJx7wrITlx5N3ZylQ4ENYi10Xt_YRZZySn3IZ833P7EQ",360,"PulseFireToaster",FALSE,100,"UTILITY",18,1617,13599,3021,3525,9379,4149,2769,8,132,35,5,0,447,0,30,0,1,0,58,4,7,20,TRUE,5.34200120885885
"1446",1,0,0,9903,12,875,"Sett",0,2,3714,3714,3714,20246,11,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6527,5450,"TOP",0,3,6029,1053,1043,3047,3067,1054,3340,12,0,2,"TOP",0,0,1,276,0,0,18262,0,0,1,0,0,6,0,56711,9280,8885,746,"s4zejUp0TMLJflwnXqbMMzkYDg38PZx5QGyCwlS1DUpqnuYN1-eD5p6Pxu_xvW4t6fzEUddHoC8DkA",0,NA,NA,"SOLO",0,52,16,27,5,4,4,2,12,"LlmSuOLD2GwLyA8di9p_EfTAOzLNjEheIaOoW6jwf0mCpmZA",44,"notKido",FALSE,200,"TOP",12,1617,62105,11475,0,27778,633,0,71,107,311,1,0,5393,2194,631,1,11,0,5,0,1,2,FALSE,1.1624698053639
"1447",6,0,0,9418,12,20,"Nunu",0,6,0,5861,0,21668,6,4,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7777,7500,"JUNGLE",0,3,6664,2031,3009,3075,1029,0,3340,22,0,1,"JUNGLE",15,0,1,694,38287,4641,13037,84,0,1,0,0,7,0,18432,656,17262,4027,"GG_f8JuG5XuykXchchEy9gOi8FqgCK2oLx5INAhLlf11XWOa5TOdWcBJsw-tuNuJwUioGrv_yoifZw",0,NA,NA,"NONE",0,55,69,141,9,14,11,3,4,"M-Sr8O_BGkOzJ8F5KCJfF5sv8LV2u-BlfCC9AA9R5uVk-7w",285,"jam cham",FALSE,200,"JUNGLE",16,1617,89646,5508,0,32144,14915,0,30,236,158,1,0,32927,209,1843,0,11,0,18,5,2,11,FALSE,3.74248093219539
"1448",2,0,0,11085,13,55,"Katarina",0,6,1317,1586,1317,9219,9,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8903,8985,"MIDDLE",0,3,1055,4633,3115,3020,1029,2055,3364,21,1,3,"MIDDLE",0,3,1,643,67048,8729,11626,0,0,1,0,0,8,0,15944,1227,9263,4763,"wnc80HOyO8baD7S0V0rjh1ZdYDubIUJqAuhAHMAvRdyG7IrjtqtMoEu8DIC1Gi0uNZonMCSu1Z3ESA",0,NA,NA,"SOLO",0,54,43,0,7,3,14,3,4,"xs1ImEJ86rm93tEtfkSNcTi8G_oB0p0kGsCaM72bGfSQak7K",124,"b0styjusty",FALSE,200,"MIDDLE",0,1617,83650,10614,0,21941,2316,0,151,0,287,1,0,657,657,1051,0,11,0,13,5,1,8,FALSE,2.27734407944996
"1449",7,0,0,9653,12,21,"MissFortune",0,1,312,2393,312,8554,8,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7872,7750,"BOTTOM",0,3,1055,3009,6676,6692,0,0,3340,19,0,2,"BOTTOM",547,0,1,317,7854,1662,7348,0,0,1,0,0,9,0,69823,19558,11320,3150,"EXGr3l6oOYbvo1JEcr5gpmUCf-Kmn1ZNbDFHCCG3Q6EHl5m7KaSaOsZYCq8bHQq4jeSxmJoGTclNvg",0,NA,NA,"CARRY",0,61,31,30,6,5,7,4,4,"TbOrNZ-qd22vTTG0TwGl3Ov88dkE8eYiWI3pMHGKwJYnAnA",235,"Duckyyy",FALSE,200,"BOTTOM",9,1617,77678,21221,0,20630,5244,645,140,176,187,3,0,0,0,1962,0,11,0,11,0,0,7,FALSE,2.40786814593127
"1450",4,0,0,8298,11,35,"Shaco",0,4,198,1303,198,6911,5,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7372,6400,"UTILITY",0,3,3158,6656,3853,2055,1011,1026,3364,17,1,5,"BOTTOM",0,4,1,698,28570,10355,7178,0,0,1,0,0,10,0,2664,78,9563,4881,"xKzGh418x9pTaHvU1sSilkYgFSO6l6h65QvHQiI_--4QPlBgajKT9AsvwkVmb2wVYIQMKYfYKJqncg",0,NA,NA,"SUPPORT",0,25,66,40,12,5,14,3,4,"XbFHObt5CQ0vfvjIoy4F-4QW-BgWrAVCGKH_O5B7KkCRN8E",158,"Howeyourfelling",FALSE,200,"UTILITY",30,1617,31670,10869,0,17700,183,0,21,271,141,1,0,436,436,958,0,11,0,20,2,5,9,FALSE,3.17411210145258
